科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
760403,兒童與家庭(服務)學系,N 修,B 學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
760403,兒童與家庭(服務)學系,N 修,C 學士,0,0,0,0,2,23,15,236,0,0,0,0,0,0,0,0
760403,兒童與家庭服務科,N 修,2 二專,0,0,6,195,0,0,0,0,0,0,0,0,0,0,0,0
760404,家庭研究與兒童發展學系,D 日,M 碩士,6,4,3,8,0,0,0,0,0,0,0,0,0,0,4,14
760404,家庭研究與兒童發展學系,D 日,B 學士,6,63,5,66,5,57,9,59,0,0,0,0,0,0,1,10
760404,家庭研究與兒童發展學系,N 職,M 碩士,4,8,0,8,0,0,0,0,0,0,0,0,0,0,5,14
760404,家庭研究與兒童發展學系,N 修,C 學士,0,0,0,0,0,1,4,30,0,0,0,0,0,0,0,8
760404,家庭研究與兒童發展學系,P 進,B 學士,3,39,3,35,8,32,7,39,0,0,0,0,0,0,1,14
760405,青少年兒童福利學系,N 職,M 碩士,3,21,2,21,1,5,0,3,0,0,0,0,0,0,2,2
760408,兒童服務系,D 日,B 學士,0,0,0,12,2,14,0,0,0,0,0,0,0,0,0,0
769901,民族社會工作學位學程,D 日,B 學士,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769902,生命關懷事業科,D 日,5 五專,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769902,生命關懷事業科,N 修,2 二專,38,39,25,25,0,0,0,0,0,0,0,0,0,0,4,3
769988,社會服務類產業研發專班,D 日,M 碩士,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0
810101,旅館(事業)管理學系,D 日,B 學士,170,612,144,523,101,398,83,312,0,0,0,0,0,0,13,45
810101,旅館(事業)管理學系,D 日,C 學士,0,0,0,0,3,12,4,12,0,0,0,0,0,0,0,1
810101,旅館(事業)管理科,D 日,2 二專,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810101,旅館(事業)管理學系,N 修,B 學士,69,139,108,158,72,131,79,127,0,0,0,0,0,0,18,25
810101,旅館(事業)管理學系,N 修,C 學士,0,0,0,0,30,67,18,40,0,0,0,0,0,0,3,0
810101,旅館(事業)管理科,N 修,2 二專,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
810102,餐旅(行銷)(暨遊憩)管理學系,D 日,M 碩士,31,40,22,40,5,8,0,1,0,0,0,0,0,0,0,0
810102,餐旅(行銷)(暨遊憩)管理學系,D 日,B 學士,1605,2045,1553,1914,1448,1876,1207,1761,0,0,0,0,0,0,196,126
810102,餐旅(行銷)(暨遊憩)管理學系,D 日,C 學士,0,0,0,0,28,41,18,29,0,0,0,0,0,0,0,1
810102,餐旅(行銷)管理科,D 日,2 二專,43,50,67,68,0,0,0,0,0,0,0,0,0,0,7,3
810102,餐旅(行銷)管理科,D 日,5 五專,161,197,152,224,132,198,106,178,90,135,0,0,0,0,19,12
810102,餐旅(行銷)(暨遊憩)管理學系,N 職,M 碩士,34,22,22,24,1,3,2,2,0,0,0,0,0,0,3,1
